Messages;Total Time;First Message;Average per Round;Key Generation;Commitments on Key;PoK Generation on Keys;Sending Comm&PoK on Keys;Receive Comm&PoK on Keys;Setting Round Messages;Calculate PoK on Message Format;Send Format Proof;Receive Comm&PoK on Format;Calculate PoK on Message;Send PoK on Message;Receive PoK on Message;Calculate PoK on Output;Send PoK on Output;Receive PoK on Output;Virtual Round;Round Resolution
3;1.702;1.2093333333333334;0.5673333333333332;11.847666666666667;8.565666666666667;2.2123333333333335;0.701;16.391333333333332;2.6793333333333336;3.7776666666666667;0.0;21.796333333333333;1.9403333333333332;0.02;13.249666666666668;2.465666666666667;0.018000000000000002;14.287333333333331;0.001;0.02266666666666667
4;3.4742500000000005;2.5795;0.8685;13.32775;7.0595;1.2400000000000002;0.58325;15.243500000000001;1.8965;2.5322500000000003;0.0;22.12625;1.101;0.22575;16.611;2.2577499999999997;0.07075000000000001;15.697;0.00075;0.01475
5;6.247400000000001;3.8775999999999997;1.2494;12.7976;7.499799999999999;0.9707999999999999;0.4506;17.982999999999997;1.5524;2.1894;0.0;25.419800000000002;0.9938;0.065;13.5886;1.4732;0.0188;14.975;0.0;0.0094
6;9.447333333333333;5.163666666666667;1.5745000000000002;12.183833333333334;7.399333333333334;0.7469999999999999;0.4586666666666667;18.227166666666665;1.2433333333333332;1.6721666666666668;0.0;25.707833333333337;0.8458333333333333;0.1235;14.773833333333334;1.2229999999999999;0.15433333333333335;15.2265;0.00016666666666666666;0.007
7;14.16585714285714;6.694571428571428;2.0235714285714286;12.026;7.452428571428571;0.6534285714285714;0.4184285714285715;17.465714285714288;1.1039999999999999;1.8851428571428575;0.0;26.561714285714288;0.7377142857142857;0.08428571428571428;13.191000000000003;1.177571428571429;0.2775714285714286;16.897142857142857;0.0;0.012285714285714285
8;21.219875;13.61975;2.6524999999999994;11.503375;7.322125000000001;0.561375;0.9897499999999999;17.646250000000002;1.041;1.7457499999999997;0.0;27.061625000000003;0.601875;0.416625;12.728750000000002;1.056375;0.43950000000000006;16.855375000000002;0.0;0.00575
9;30.341222222222225;17.19788888888889;3.371222222222222;11.666444444444444;7.402444444444446;0.49855555555555564;0.7331111111111112;17.858777777777778;0.9874444444444443;1.508;0.0;23.605;0.6042222222222223;0.2654444444444445;13.798222222222224;1.0518888888888889;0.2877777777777778;19.69077777777778;0.0005555555555555556;0.005666666666666666
10;39.81849999999999;12.655100000000001;3.9819999999999993;12.216999999999999;7.2425;0.4232;0.6501;17.324299999999997;0.7262;1.1334000000000002;0.0;26.827499999999997;0.5171;0.2399;15.156400000000001;1.0688;0.22749999999999998;16.2273;0.0;0.0043
11;53.297363636363634;15.235909090909091;4.845181818181818;11.80490909090909;7.467727272727273;0.3852727272727273;0.5041818181818182;18.098909090909093;0.6898181818181818;0.8610909090909092;0.0;25.95254545454545;0.45527272727272733;0.21045454545454542;13.489636363636363;1.1113636363636366;0.2000909090909091;18.739;0.0;0.00981818181818182
12;67.99633333333334;30.246083333333335;5.666250000000001;12.275833333333331;7.899;0.3809166666666666;0.455;19.053916666666666;0.586;0.8513333333333334;0.0;25.24508333333333;0.4910833333333333;0.18016666666666667;13.660833333333331;0.9172499999999998;0.17900000000000002;17.796166666666664;0.0;0.0021666666666666674
13;82.02930769230768;34.6616923076923;6.310076923076922;10.972769230769227;7.977153846153846;0.3176153846153846;0.41284615384615386;18.79323076923077;0.5419999999999999;0.7761538461538462;0.0;27.843307692307697;0.4020000000000001;0.16492307692307692;12.70353846153846;0.814846153846154;0.13699999999999998;18.124615384615385;0.0;0.005153846153846154
14;101.45821428571428;39.47735714285715;7.247;11.756285714285713;8.330857142857143;0.298;0.3777142857142857;18.570785714285716;0.4729285714285715;0.6744285714285715;0.0;26.121928571428572;0.3392857142857143;0.1374285714285714;13.007857142857143;0.8377857142857144;0.11399999999999999;18.93592857142857;0.0;0.002357142857142857
15;121.09039999999999;58.740199999999994;8.072533333333332;11.362533333333335;8.235933333333332;0.3181333333333333;0.3804666666666666;19.222466666666666;0.4948;0.6921999999999999;0.0;26.599800000000002;0.34293333333333337;0.14126666666666665;12.403000000000002;0.6572666666666667;0.1492;18.973466666666663;0.0041333333333333335;0.004866666666666668
16;145.2588125;57.838750000000005;9.0785625;10.986812500000001;8.3589375;0.3085;0.4416875;19.348374999999997;0.49593750000000003;0.7024375;0.0;26.886312500000003;0.3340625;0.15337499999999998;12.7140625;0.661625;0.17468749999999994;18.41525;0.0;0.002875000000000001
17;177.9557647058824;55.89541176470588;10.467882352941174;11.347294117647058;8.253647058823528;0.2891764705882353;0.3740588235294117;19.222;0.44952941176470596;0.6256470588235294;0.0;27.331058823529407;0.3505882352941176;0.16452941176470587;12.750882352941177;0.5708823529411765;0.1541764705882353;18.095470588235294;0.0;0.003058823529411765
18;209.65516666666664;62.30622222222223;11.647388888888889;10.872277777777775;8.409444444444444;0.27955555555555567;0.3794444444444445;18.803166666666662;0.3897222222222222;0.5593333333333333;0.0;27.327833333333338;0.31205555555555553;0.14122222222222225;12.117722222222222;0.6248888888888889;0.12133333333333335;19.648000000000003;0.0;0.0017222222222222226
